"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2003년 7월","0.8180","0.7490","0.8210","0.7430","7.11K","9.36%"
"2003년 6월","0.7480","0.7900","0.7900","0.7440","12.53K","-4.10%"
"2003년 5월","0.7800","0.7270","0.7810","0.7120","9.06K","7.59%"
"2003년 4월","0.7250","0.7190","0.7360","0.7090","13.48K","1.68%"
"2003년 3월","0.7130","0.7760","0.7880","0.7110","9.23K","-8.00%"
"2003년 2월","0.7750","0.7920","0.7960","0.7390","10.49K","-2.02%"
"2003년 1월","0.7910","0.6970","0.7910","0.6970","4.88K","13.49%"
"2002년 12월","0.6970","0.7500","0.7630","0.6910","15.80K","-5.30%"
"2002년 11월","0.7360","0.7170","0.7430","0.7100","2.86K","3.08%"
"2002년 10월","0.7140","0.6600","0.7150","0.6550","8.80K","8.18%"
"2002년 9월","0.6600","0.6870","0.7050","0.6560","15.29K","-3.93%"
"2002년 8월","0.6870","0.6800","0.6930","0.6660","14.07K","1.48%"
"2002년 7월","0.6770","0.7710","0.7720","0.6770","13.44K","-11.73%"
"2002년 6월","0.7670","0.7660","0.7900","0.7370","15.63K","0.79%"
"2002년 5월","0.7610","0.7330","0.7610","0.7080","17.79K","3.82%"
"2002년 4월","0.7330","0.7600","0.7670","0.7100","12.63K","-3.55%"
"2002년 3월","0.7600","0.7150","0.7660","0.7070","12.25K","6.44%"
"2002년 2월","0.7140","0.7300","0.7500","0.6990","15.38K","-2.33%"
"2002년 1월","0.7310","0.6580","0.7300","0.6520","9.30K","11.94%"
"2001년 12월","0.6530","0.7140","0.7170","0.6540","16.82K","-9.56%"
"2001년 11월","0.7220","0.6230","0.7260","0.6040","16.71K","16.08%"
"2001년 10월","0.6220","0.6420","0.6470","0.6180","8.67K","-3.72%"
"2001년 9월","0.6460","0.6730","0.6740","0.6440","18.21K","-4.72%"
"2001년 8월","0.6780","0.6690","0.6980","0.6530","20.20K","0.00%"
"2001년 7월","0.6780","0.7030","0.7150","0.6720","12.44K","-3.83%"
"2001년 6월","0.7050","0.7540","0.7570","0.7020","20.64K","-6.25%"
"2001년 5월","0.7520","0.7660","0.7960","0.7410","16.32K","-1.83%"
"2001년 4월","0.7660","0.7590","0.7830","0.7450","16.40K","1.06%"
"2001년 3월","0.7580","0.8120","0.8500","0.7580","17.36K","-6.42%"
"2001년 2월","0.8100","0.8510","0.8510","0.7950","19.31K","-4.59%"
"2001년 1월","0.8490","0.8460","0.8670","0.8070","10.42K","0.24%"
"2000년 12월","0.8470","0.8380","0.8990","0.8380","18.66K","0.71%"
"2000년 11월","0.8410","0.8450","0.8620","0.8190","21.97K","-0.71%"
"2000년 10월","0.8470","0.9140","0.9150","0.8280","6.90K","-7.43%"
"2000년 9월","0.9150","0.8890","0.9340","0.8780","19.77K","3.39%"
"2000년 8월","0.8850","0.8630","0.8880","0.8530","19.13K","1.61%"
"2000년 7월","0.8710","0.8140","0.8720","0.8000","12.48K","6.74%"
"2000년 6월","0.8160","0.8070","0.8280","0.7850","17.65K","0.62%"
"2000년 5월","0.8110","0.7920","0.8510","0.7910","14.34K","2.66%"
"2000년 4월","0.7900","0.7910","0.8010","0.7410","17.26K","-1.25%"
"2000년 3월","0.8000","0.7850","0.8170","0.7740","10.53K","1.65%"
"2000년 2월","0.7870","0.8450","0.8470","0.7690","21.20K","-6.75%"
"2000년 1월","0.8440","0.8450","0.8750","0.8280","6.19K","-1.06%"
